,tissue_or_cell_type,synonym
0,"induced pluripotent stem cell, differentiated;oligodendrocyteprogenitors.day42",oligodendrocyte progenitor cell
2,fb,fibroblast
3,t lymphocyte cells,t lymphocytes
4,cell line,cell line
5,normal cells of the uterine cervix art18886,uterine cervix
7,normal cells of the uterine cervix art6530,uterine cervix
9,t cd8+ cells,cd8-positive t-lymphocyte
10,mpp,multipotent stem cell
15,hfib2-derived ipsc line 4,induced pluripotent stem cells
16,normal cells of the uterine cervix art1386,uterine cervix
18,cd45- thymic stroma cells,stromal cells
19,pax7+ stem cells,muscle satellite cell
20,normal cells of the uterine cervix art28530,uterine cervix
21,normal cells of the uterine cervix art20985,uterine cervix
22,foreskin melanocyte,melanocyte
25,gmp,granulocyte-macrophage progenitor cell
30,normal cells of the uterine cervix art8372,uterine cervix
31,cells of the uterine cervix 1445,uterine cervix
32,common myeloid progenitor (cmp),myeloid progenitor cell
34,primary human mammary epithelial cells,epithelial cells
37,normal cells of the uterine cervix art16928,uterine cervix
45,cd34+ cell,hematopoietic stem cell
46,hematopoietic stem cells,hematopoietic stem cell
49,human myoblasts,myoblasts
51,mrc5-ips7,induced pluripotent stem cells
52,conjunctival epithelial cell,epithelial cells
56,cells of the uterine cervix 954,uterine cervix
60,b lymphoblastoid,b lymphocytes
62,cells of the uterine cervix 1935,uterine cervix
64,normal cells of the uterine cervix art17828,uterine cervix
66,msc,mesenchymal stromal cells
70,colon carcinoma cells,colorectal neoplasms
73,mefs,fibroblast
78,leukemia cells,leukemia
81,hematopoietic cells,hematopoietic stem cell
82,embryonic stem cells (escs),embryonic stem cell
83,normal cells of the uterine cervix art4249,uterine cervix
84,normal cells of the uterine cervix art2601,uterine cervix
85,normal cells of the uterine cervix art966,uterine cervix
86,h9 escs,embryonic stem cell
87,neurons,neuron
89,leydig cells,leydig cells
92,cells of the uterine cervix 2607,uterine cervix
94,blood mononuclear cells,"leukocytes, mononuclear"
95,cells of the uterine cervix 3998,uterine cervix
96,cells of the uterine cervix 3319,uterine cervix
97,cells of the uterine cervix 1656,uterine cervix
98,"dermal fibroblasts, immortalized",fibroblast
99,normal cells of the uterine cervix art2337,uterine cervix
100,h9 human embryonic stem cells,embryonic stem cell
101,in vitro activated mouse b cells,b lymphocytes
102,breast cancer cell line,breast neoplasms
103,cells of the uterine cervix 1839,uterine cervix
104,adipose stromal cell (asc) pre-adipocyte,mesenchymal stem cells
108,blood,blood
110,hips_17b_p35,induced pluripotent stem cells
111,mouse embryonic stem cells,embryonic stem cell
112,old fibroblasts,fibroblast
113,heb16d_27e_p44,embryonic stem cell
114,j1 esc,embryonic stem cell
115,es-derived post mitotic neuronal cells,neuron
116,granulocyte,granulocyte
118,143btk-,osteosarcoma
120,normal cells of the uterine cervix art61019,uterine cervix
121,mouse embryonic fibroblasts (mefs),fibroblast
122,normal cells of the uterine cervix art17559,uterine cervix
128,embryonic stem cells (es),embryonic stem cell
129,cells of the uterine cervix 2520,uterine cervix
131,cells of the uterine cervix 2424,uterine cervix
134,human nueronal cells,neuron
135,normal cells of the uterine cervix art10872,uterine cervix
136,msc fibroblasts,fibroblast
138,normal cells of the uterine cervix art17049,uterine cervix
141,ganglionic eminence neural stem and progenitor cells,neural stem cells
143,normal cells of the uterine cervix art8132,uterine cervix
146,monocytes,monocyte
147,t cell,t lymphocytes
150,erythrocyte,erythrocyte
151,normal cells of the uterine cervix art4423,uterine cervix
154,normal cells of the uterine cervix art4259,uterine cervix
156,normal cells of the uterine cervix art5066,uterine cervix
158,lin-cd34+ cells,hematopoietic stem cell
160,es cells,embryonic stem cell
162,normal cells of the uterine cervix art7211,uterine cervix
165,"embryonic stem cell, differentiated;oligodendrocyteprogenitors.day42",oligodendrocyte progenitor cell
166,normal cells of the uterine cervix art60709,uterine cervix
167,cells of the uterine cervix 792,uterine cervix
168,pbmc,"leukocytes, mononuclear"
170,normal cells of the uterine cervix art8984,uterine cervix
177,young skin epidermal stem cells,stem cell
178,hspc,hematopoietic stem cell
179,b cells,b lymphocytes
180,normal cells of the uterine cervix art7570,uterine cervix
181,normal cells of the uterine cervix art17167,uterine cervix
182,a rasv12-transformed human ovarian epithelial cell line,ovary
183,primary t-cells,t lymphocytes
184,normal cells of the uterine cervix art60089,uterine cervix
188,cells of the uterine cervix 2173,uterine cervix
189,imr-90 fibroblasts,fibroblast
190,cells of the uterine cervix 3334,uterine cervix
193,mega,megakaryocyte
194,gmp-c,granulocyte-macrophage progenitor cell
195,"induced pluripotent stem cell, differentiated;neuralprogenitors.day22",neural stem cells
196,mesenchymal stromal cells,mesenchymal stromal cells
197,normal cells of the uterine cervix art13778,uterine cervix
198,primary neural stem cells,neural stem cells
200,human embryonic kidney,kidney
202,primary lung fibroblasts,fibroblast
203,female pronucleus,oocyte
204,normal cells of the uterine cervix art11205,uterine cervix
208,embryonal carcinoma cells,embryonal carcinoma cell
209,normal cells of the uterine cervix art18749,uterine cervix
212,normal cells of the uterine cervix art18761,uterine cervix
213,normal cells of the uterine cervix art23651,uterine cervix
214,cells of the uterine cervix 2571,uterine cervix
215,normal cells of the uterine cervix art1827,uterine cervix
216,msc-ips1,induced pluripotent stem cells
218,renal cancer cell line,renal cell carcinoma
219,old nsc,neural stem cells
220,alveolar macrophages,alveolar macrophages
221,"induced pluripotent stem cell, differentiated;neuralprogenitors.day23",neural stem cells
222,hfib2-ips4,induced pluripotent stem cells
227,cells of the uterine cervix 500,uterine cervix
228,normal cells of the uterine cervix art6406,uterine cervix
229,lymphoblastoid cells,b lymphocytes
232,cells of the uterine cervix 1671,uterine cervix
236,"parthenogentic embryonic stem cell, undifferentiated",embryonic stem cell
237,cells of the uterine cervix 5272,uterine cervix
239,"interneuron, other",interneuron
240,aged skin epithelium,epithelium
241,hematopoietic stem cell (hsc),hematopoietic stem cell
242,bone marrow-derived macrophages,bone marrow-derived macrophages
246,fetal primary nsc,neural stem cells
247,monocyte,monocyte
248,foreskin keratinocyte,keratinocyte
249,e14 mesc,mouse embryonic stem cell
250,megakaryocitic erythroyd progenitor (mep),megakaryocyte-erythroid progenitor
252,normal cells of the uterine cervix art12751,uterine cervix
253,hes_h1_p25,embryonic stem cell
254,normal cells of the uterine cervix art12918,uterine cervix
256,msc-derived ipsc line 3,induced pluripotent stem cells
257,mononuclear cell,"leukocytes, mononuclear"
258,normal cells of the uterine cervix art2497,uterine cervix
259,normal cells of the uterine cervix art16109,uterine cervix
260,bj1-ips2,induced pluripotent stem cells
262,normal cells of the uterine cervix art13767,uterine cervix
263,normal cells of the uterine cervix art60561,uterine cervix
265,hes_h9_p58_rep2,embryonic stem cell
267,human embryonic stem cell line,embryonic stem cell
268,stimulated cd14 monocytes,monocyte
269,human dermal fibroblasts from naonatal foreskin,fibroblast
270,cd34-ips4,induced pluripotent stem cells
271,primary acute lymphoblastic leukemia cells,"leukemia, acute lymphoblastic"
274,immortalized mouse myoblast,myoblast
277,normal cells of the uterine cervix art13446,uterine cervix
279,cells of the uterine cervix 1483,uterine cervix
280,"carcinoma, derived from the metastatic site, bone of a prostate cancer patient",prostatic neoplasms
281,cells of the uterine cervix 2780,uterine cervix
282,es-derived neuronal progenitor cells,neural stem cells
283,normal cells of the uterine cervix art9038,uterine cervix
284,human_blood_cd19,b lymphocytes
286,npc,neural stem cells
287,normal cells of the uterine cervix art11801,uterine cervix
288,cells of the uterine cervix 4144,uterine cervix
291,hepatocellular carcinoma,hepatocellular carcinoma
292,normal cells of the uterine cervix art14569,uterine cervix
294,hes_hues48_p15,embryonic stem cell
295,heb16d_hues62_p18,embryonic stem cell
298,embryonic stem cell,embryonic stem cell
299,normal cells of the uterine cervix art609,uterine cervix
302,cholinergic interneuron,interneuron
304,cells of the uterine cervix 1408,uterine cervix
305,normal cells of the uterine cervix art5306,uterine cervix
306,normal cells of the uterine cervix art7874,uterine cervix
307,human dental pulp cells,dental pulp
309,car t cells,t lymphocytes
310,normal cells of the uterine cervix art8159,uterine cervix
311,lung fibroblast,fibroblast
315,healthy white blood cells,leukocyte
316,normal cells of the uterine cervix art14472,uterine cervix
317,normal cells of the uterine cervix art60069,uterine cervix
319,microglia,microglia
320,normal cells of the uterine cervix art23729,uterine cervix
321,normal cells of the uterine cervix art11913,uterine cervix
323,somatic.tissue,tissue
324,aged skin hair follicle stem cells,hair follicle
326,liver carcinoma cells,liver neoplasms
327,cd4+cd25- t,t lymphocytes
328,hfib2-ips5,induced pluripotent stem cells
331,promyelocytic leukemia cells,"leukemia, promyelocytic, acute"
332,cells of the uterine cervix 2706,uterine cervix
334,primary mouse embryonic fibroblasts (mefs),fibroblast
335,normal cells of the uterine cervix art7352,uterine cervix
336,normal cells of the uterine cervix art15986,uterine cervix
337,bj1,fibroblast
338,mrc-5,fibroblast
342,normal cells of the uterine cervix art8406,uterine cervix
346,gastric adenocarcinoma cells,adenocarcinoma
347,brain astrocyte,astrocyte
349,stroma cells,stromal cells
351,cd 8 t cell,cd8-positive t-lymphocyte
355,lin-sca1+kit- bone marrow cells,bone marrow cells
357,mouse embryonic fibroblast,fibroblast
358,cells of the uterine cervix 1934,uterine cervix
360,nk cells,natural killer cells
362,lung,lung
365,neutrophil,neutrophils
367,multipotent progenitor (mpp),multipotent stem cell
368,endothelial cells,endothelial cells
369,normal cells of the uterine cervix art945,uterine cervix
371,cells of the uterine cervix 5226,uterine cervix
374,normal cells of the uterine cervix art13193,uterine cervix
380,epithelial,epithelium
382,mrc5-derived ipsc line 7,induced pluripotent stem cells
383,normal cells of the uterine cervix art60419,uterine cervix
384,heart,heart
385,cd34-ips8,induced pluripotent stem cells
386,normal cells of the uterine cervix art61199,uterine cervix
387,esc,embryonic stem cell
388,etoposide-induced senescent (etis) cells,cells
390,normal cells of the uterine cervix art15114,uterine cervix
392,mrc5,fibroblast
393,colon cancer cell line,colorectal neoplasms
395,es cell,embryonic stem cell
396,normal cells of the uterine cervix art7029,uterine cervix
