disease,synonym
"fl","lymphoma, follicular"
"aml","leukemia, myeloid, acute"
"schizophrenic","schizophrenia"
"cervical intraepithelial neoplasia (cin) 2","cervical intraepithelial neoplasia"
"mds","myelodysplastic syndrome"
"kidney metastases","UNKNOWN"
"normal cd19+ cells","UNKNOWN"
"melanoma","melanoma"
"precursor","UNKNOWN"
"autism","autism"
"pancreatic cancer","pancreatic neoplasms"
"scd","sickle cell disease"
"cervical cancer","cervical neoplasms"
"cr patient","UNKNOWN"
"hypertrophic cardiomyopathy (hcm)","hypertrophic cardiomyopathy"
"dlbcl","lymphoma, large b-cell, diffuse"
"invasive cervical carcinoma","cervical neoplasms"
"normal cd3+ cells","UNKNOWN"
"head-neck cancer","neoplasms, head and neck"
"colon cancer","colonic neoplasms"
"pulmonary fibrosis (pf)","pulmonary fibrosis"
"all","acute lymphoblastic leukemia"
"cancer","neoplasms"
"mixed-phenotype acute leukemia (mpal)","leukemia, biphenotypic acute"
"testis cancer","testicular neoplasms"
"primary bilary cirrhosis","primary biliary cirrhosis"
"idiopathic parkinson's disease (ipd)","parkinson disease"
"parkinson","parkinson disease"
"alzheimer","alzheimer disease"
"dementia","dementia"
"esophageal cancer","esophageal neoplasms"
"healthy donor","UNKNOWN"
"healthy control","UNKNOWN"
"large aaa","aortic aneurysm, abdominal"
"primary lung cancer","lung neoplasms"
"nnc","UNKNOWN"
"ganglioneuroma","ganglioneuroma"
"cervical carcinoma in situ","cervical intraepithelial neoplasia"
"control","UNKNOWN"
"endometrial cancer","endometrial cancer"
"all diagnosis","UNKNOWN"
"lupus","lupus erythematosus, systemic"
"cervical intraepithelial neoplasia (cin) 1","cervical intraepithelial neoplasia"
"hepatocellular carcinoma (hcc)","hepatocellular carcinoma"
"cin3 (precancer)","cervical intraepithelial neoplasia"
"cup","neoplasms, unknown primary"
"colon metastases","UNKNOWN"
"stomach cancer","stomach neoplasms"
"mm","multiple myeloma"
"coronary atherosclerotic heart disease","coronary artery disease"
"breast cancer","breast neoplasms"
"pd patient","parkinson disease"
"lung cancer","lung neoplasms"
"atherosclerosis","atherosclerosis"
"normal lung","UNKNOWN"
"leukemia","leukemia"
"myopathy","myopathy"
"healthy","UNKNOWN"
"non-small cell lung cancer (nsclc)","carcinoma, non-small-cell lung"
"hepatocellular cancer","hepatocellular carcinoma"
"mll","leukemia, biphenotypic acute"
"endometrial hyperplasia","endometrial hyperplasia"
"food allergy","food hypersensitivity"
"ad","alzheimer disease"
"normal","UNKNOWN"
"ms","multiple sclerosis"
"patient with sickle cell disease","sickle cell disease"
"peak of the disease","UNKNOWN"
"norm","UNKNOWN"
"dilated cardiomyopathy","dilated cardiomyopathy"
"small aaa","aortic aneurysm, abdominal"
"glioma","glioma"
"diabetic macrovascular disease","diabetic angiopathies"
"lymphoma","lymphoma"
"mbl","UNKNOWN"
"nafld","non-alcoholic fatty liver disease"
"cll","chronic lymphocytic leukemia"
"icf","UNKNOWN"
"atheroma","atheroma"
"prostate cancer","prostatic neoplasms"
"wt","UNKNOWN"
"diabetic kidney disease (dkd)","diabetic nephropathies"
"rheumatoid arthritis","rheumatoid arthritis"
"non-lupus","UNKNOWN"
"bladder cancer","bladder neoplasms"
"systemic sclerosis","systemic sclerosis"
"mcl","mantle-cell lymphoma"
"adenoma","adenoma"
"kidney cancer","renal neoplasms"
"no disease","UNKNOWN"
"aod","arterial occlusive disease"
"diabetic","diabetes mellitus"
"cervical squamous cell carcinoma","cervical neoplasms"
"ovarian cancer","ovarian cancer"
"neuroblastoma","neuroblastoma"
"n/a","UNKNOWN"
"dilated cardiomyopathy","dilated cardiomyopathy"
"severe convalescent covid-19","covid-19"
"hd","UNKNOWN"
"covid-19","covid-19"
"non-diseased","UNKNOWN"
"ischemic cardiomyopathy","UNKNOWN"
"copd","chronic obstructive pulmonary disease"
"hgps","progeria"
"non-failing","UNKNOWN"
"ipf","idiopathic pulmonary fibrosis"
"heart failure","heart failure"
"x","UNKNOWN"
"ctrl","UNKNOWN"
