treatment,synonym
"lincrna-st8sia3 targeting sirna1","UNKNOWN"
"ctrl","UNKNOWN"
"9/13-hode","UNKNOWN"
"no treatment","UNKNOWN"
"control, water","hydrogen oxide"
"5 weeks of unmodulated 40 hz stimulation","UNKNOWN"
"normal","UNKNOWN"
"treatment with lentivirus expressing hrasg12v at 10 moi, and puromycin (1 µg/ml)","p638"
"keto diet - 12 months","UNKNOWN"
"lps","lipopolysaccharides"
"vpf72h","UNKNOWN"
"purification procedure for small rnas","UNKNOWN"
"untreated, 2 days","UNKNOWN"
"tamoxifen induction","ici 46474"
"m1 type thp-1 supernatant was intervened for 3 days","UNKNOWN"
"cultured at 42°c for four hours","UNKNOWN"
"css + dht(1nm)","dihydrotestosterone, 5-alpha"
"2 hours with 100 ug/ml anisomycin dissolved in dmso (sigma, cat a9789)","flagecidin"
"fd&c #1 blue food dye","agents, food coloring"
"etoh","absolute alcohol"
"irradiated with 10 gy x-ray","UNKNOWN"
"cpt-1 rnai","UNKNOWN"
"permanent middle cerebral artery occlusion (pmcao) surgery","UNKNOWN"
"4 hours with 100 ug/ml of chloramphenicol (sigma, cat c3175)","chlorocid"
"2.5 mm fructose","levulosa ife"
"7-month cd","UNKNOWN"
"expansion in vitro to passage 4","UNKNOWN"
"azd8055","UNKNOWN"
"5 ng/µl trichostatin a for 36 h","UNKNOWN"
"dmso for 35 days","dimethylsulfoxide"
"sipsf","UNKNOWN"
"10 mm  fructose","levulosa ife"
"2.5 mm  fructose","levulosa ife"
"recovery 24h","UNKNOWN"
"recovery 12h","UNKNOWN"
"viewpoint pde4c","UNKNOWN"
"wild-type","UNKNOWN"
"6-months old","UNKNOWN"
"18c nls-flucdm-gfp 2copies","UNKNOWN"
"0 um 4su","thiouracil"
"18c mito-flucdm-gfp 1copy","UNKNOWN"
"fish kept for 4 days in marine water","UNKNOWN"
"staph. epi association","UNKNOWN"
"50 um 4su for 90 min","thiouracil"
"isotype control ab","antibodies"
"not injected","UNKNOWN"
"5 micromolar of nintedanib for 3 days","nintedanib"
"9 days after exposure to bleomycin (10 ug/ml for 24 h), doxycycline for the last 11 days (1ug/ml)","drug combination"
"reprogrammed and re-differentiaed","UNKNOWN"
"mcao1","UNKNOWN"
"lincrna-st8sia3 targeting sirna4","UNKNOWN"
"ev rnai","UNKNOWN"
"germ free","UNKNOWN"
"sh_ctrl","UNKNOWN"
"vehicle","vehicles, pharmaceutical"
"control dmso treatment","dimethylsulfoxide"
"bhb","hydroxybutyric acids"
"30 minutes with 100 ug/ml of cycloheximide dissolved in dmso (sigma, cat c7698)","cycloheximide"
"ddh2o","hydrogen oxide"
"0 mm  fructose","UNKNOWN"
"surgery","UNKNOWN"
