tissue_or_cell_type,synonym
"induced pluripotent stem cell, differentiated;oligodendrocyteprogenitors.day42","oligodendrocyte progenitor cell"
"right serratus","UNKNOWN"
"fb","fibroblast"
"t lymphocyte cells","t lymphocytes"
"cell line","cell line"
"normal cells of the uterine cervix art18886","uterine cervix"
"fat","adipose tissue"
"normal cells of the uterine cervix art6530","uterine cervix"
"iepiscs","epiblasts"
"t cd8+ cells","cd8-positive t-lymphocyte"
"mpp","multipotent stem cell"
"cornea","cornea"
"tonsils","tonsil"
"rumen","rumen"
"trpm8low","UNKNOWN"
"hfib2-derived ipsc line 4","induced pluripotent stem cells"
"normal cells of the uterine cervix art1386","uterine cervix"
"ovary of single-housed males at 5 wph","ovary"
"cd45- thymic stroma cells","stromal cells"
"pax7+ stem cells","muscle satellite cell"
"normal cells of the uterine cervix art28530","uterine cervix"
"normal cells of the uterine cervix art20985","uterine cervix"
"foreskin melanocyte","melanocyte"
"male","UNKNOWN"
"spinal cord","spinal cord"
"gmp","granulocyte-macrophage progenitor cell"
"triceps muscles","muscle"
"primary renal fibroblasts","fibroblast"
"olfactory bulb","olfactory bulb"
"placenta","placenta"
"normal cells of the uterine cervix art8372","uterine cervix"
"cells of the uterine cervix 1445","uterine cervix"
"common myeloid progenitor (cmp)","myeloid progenitor cell"
"tail-tip fibroblast","fibroblast"
"primary human mammary epithelial cells","epithelial cells"
"cmo","UNKNOWN"
"ovary of group-housed males at 8 wph","ovary"
"normal cells of the uterine cervix art16928","uterine cervix"
"caudate","caudate nucleus"
"3d-cns","central nervous system"
"fetal limb","extremities"
"injured cell","UNKNOWN"
"wbc","leukocyte"
"lung cancer","lung neoplasms"
"pancreatic_islet_normal","islets of langerhans"
"cd34+ cell","hematopoietic stem cell"
"hematopoietic stem cells","hematopoietic stem cell"
"adipose","adipose tissue"
"ileum","ileum"
"human myoblasts","myoblasts"
"whole body of group-housed females at 21 dph","whole organism"
"mrc5-ips7","induced pluripotent stem cells"
"conjunctival epithelial cell","epithelial cells"
"normal neck skin","skin"
"colon","colon"
"atypical adenomatous hyperplasia","adenoma"
"cells of the uterine cervix 954","uterine cervix"
"tumor","neoplasms"
"3 wk leaves","plant leaves"
"limb","extremities"
"b lymphoblastoid","b lymphocytes"
"trpm8high","UNKNOWN"
"cells of the uterine cervix 1935","uterine cervix"
"islets","islets of langerhans"
"normal cells of the uterine cervix art17828","uterine cervix"
"musculus vastus lateralis","quadriceps femoris"
"msc","mesenchymal stromal cells"
"np1","UNKNOWN"
"extensor digitorum longus","muscle"
"breast cancer ascite  metastasis","breast neoplasms"
"colon carcinoma cells","colorectal neoplasms"
"hippocampus","hippocampus"
"uterus","uterus"
"mefs","fibroblast"
"cortex","cerebral cortex"
"acute myeloid leukemia bone marrow","leukemia, myeloid, acute"
"skeletal_muscle","skeletal muscle"
"ovary","ovary"
"leukemia cells","leukemia"
"peripheral blood","blood"
"lung adenocarcinoma","lung adenocarcinomas"
"hematopoietic cells","hematopoietic stem cell"
"embryonic stem cells (escs)","embryonic stem cell"
"normal cells of the uterine cervix art4249","uterine cervix"
"normal cells of the uterine cervix art2601","uterine cervix"
"normal cells of the uterine cervix art966","uterine cervix"
"h9 escs","embryonic stem cell"
"neurons","neuron"
"cd34+ bone marrow","bone marrow"
"leydig cells","leydig cells"
"paxgene whole blood","blood"
"tongue","tongue"
"cells of the uterine cervix 2607","uterine cervix"
"immune","UNKNOWN"
"blood mononuclear cells","leukocytes, mononuclear"
"cells of the uterine cervix 3998","uterine cervix"
"cells of the uterine cervix 3319","uterine cervix"
"cells of the uterine cervix 1656","uterine cervix"
"dermal fibroblasts, immortalized","fibroblast"
"normal cells of the uterine cervix art2337","uterine cervix"
"h9 human embryonic stem cells","embryonic stem cell"
"in vitro activated mouse b cells","b lymphocytes"
"breast cancer cell line","breast neoplasms"
"cells of the uterine cervix 1839","uterine cervix"
"adipose stromal cell (asc) pre-adipocyte","mesenchymal stem cells"
"breast tissue","breast"
"95% human blood, 5% mouse spleen","UNKNOWN"
"normal human bronchial epithelial cells","epithelial cells"
"blood","blood"
"2i cultured embryonic stem cells (xx)","embryonic stem cell"
"hips_17b_p35","induced pluripotent stem cells"
"mouse embryonic stem cells","embryonic stem cell"
"old fibroblasts","fibroblast"
"heb16d_27e_p44","embryonic stem cell"
"j1 esc","embryonic stem cell"
"es-derived post mitotic neuronal cells","neuron"
"granulocyte","granulocyte"
"testis of single-housed males at 5 wph","testis"
"143btk-","osteosarcoma"
"cytologically-normal lung tissue","lung"
"normal cells of the uterine cervix art61019","uterine cervix"
"mouse embryonic fibroblasts (mefs)","fibroblast"
"normal cells of the uterine cervix art17559","uterine cervix"
"inflorescence","inflorescence"
"cecum","cecum"
"testis of single-housed males at 11 wph","testis"
"islets of langerhans","islets of langerhans"
"testis","testis"
"embryonic stem cells (es)","embryonic stem cell"
"cells of the uterine cervix 2520","uterine cervix"
"gut","digestive tract"
"cells of the uterine cervix 2424","uterine cervix"
"minsc","UNKNOWN"
"intestinal tumor","intestinal neoplasms"
"human nueronal cells","neuron"
"normal cells of the uterine cervix art10872","uterine cervix"
"msc fibroblasts","fibroblast"
"10% human blood, 90% mouse fat","UNKNOWN"
"normal cells of the uterine cervix art17049","uterine cervix"
"adipose_subcutaenous","subcutaneous adipose tissue"
"temporal cortex","temporal cortex"
"ganglionic eminence neural stem and progenitor cells","neural stem cells"
"colorectal pdx","colorectal neoplasms"
"normal cells of the uterine cervix art8132","uterine cervix"
"ipscs from lung fibroblasts","induced pluripotent stem cells"
"trophoblasts","trophoblasts"
"monocytes","monocyte"
"t cell","t lymphocytes"
"gastric tumor","stomach neoplasms"
"lip squamous cell carcinoma","lip neoplasms"
"erythrocyte","erythrocyte"
"normal cells of the uterine cervix art4423","uterine cervix"
"dbs","UNKNOWN"
"abomasum","abomasum"
"normal cells of the uterine cervix art4259","uterine cervix"
"striatum","corpus striatum"
"normal cells of the uterine cervix art5066","uterine cervix"
"primary hepatocellular carcinoma tumor","hepatocellular carcinoma"
"lin-cd34+ cells","hematopoietic stem cell"
"vastus lateralis muscle","quadriceps femoris"
"es cells","embryonic stem cell"
"reprogramming intermediate","UNKNOWN"
"normal cells of the uterine cervix art7211","uterine cervix"
"tumor colon tissue","colorectal neoplasms"
"preserved cartilage","cartilage"
"embryonic stem cell, differentiated;oligodendrocyteprogenitors.day42","oligodendrocyte progenitor cell"
"normal cells of the uterine cervix art60709","uterine cervix"
"cells of the uterine cervix 792","uterine cervix"
"pbmc","leukocytes, mononuclear"
"stomach  epithelial cells","epithelial cells"
"normal cells of the uterine cervix art8984","uterine cervix"
"gallbladder","gallbladder"
"floral bud","flower"
"epidermis","epidermis"
"cancer cell line","neoplasms"
"c-ltmr","UNKNOWN"
"85% human blood, 15% mouse fat","UNKNOWN"
"young skin epidermal stem cells","stem cell"
"hspc","hematopoietic stem cell"
"b cells","b lymphocytes"
"normal cells of the uterine cervix art7570","uterine cervix"
"normal cells of the uterine cervix art17167","uterine cervix"
"a rasv12-transformed human ovarian epithelial cell line","ovary"
"primary t-cells","t lymphocytes"
"normal cells of the uterine cervix art60089","uterine cervix"
"whole body of single-housed males at 9 dph","whole organism"
"non-neuronal","UNKNOWN"
"small extracellular vesicles","extracellular vesicles"
"cells of the uterine cervix 2173","uterine cervix"
"imr-90 fibroblasts","fibroblast"
"cells of the uterine cervix 3334","uterine cervix"
"mat","UNKNOWN"
"embryos","embryo"
"mega","megakaryocyte"
"gmp-c","granulocyte-macrophage progenitor cell"
"induced pluripotent stem cell, differentiated;neuralprogenitors.day22","neural stem cells"
"mesenchymal stromal cells","mesenchymal stromal cells"
"normal cells of the uterine cervix art13778","uterine cervix"
"primary neural stem cells","neural stem cells"
"ischiatic_nerve","sciatic nerve"
"human embryonic kidney","kidney"
"a-ltmr","UNKNOWN"
"primary lung fibroblasts","fibroblast"
"female pronucleus","oocyte"
"normal cells of the uterine cervix art11205","uterine cervix"
"unopened flower buds","flower"
"gastrocnemius muscle","gastrocnemius muscle"
"m.sssi-treated","UNKNOWN"
"embryonal carcinoma cells","embryonal carcinoma cell"
"normal cells of the uterine cervix art18749","uterine cervix"
"trapezius","trapezius"
"fetal liver","liver"
"normal cells of the uterine cervix art18761","uterine cervix"
"normal cells of the uterine cervix art23651","uterine cervix"
"cells of the uterine cervix 2571","uterine cervix"
"normal cells of the uterine cervix art1827","uterine cervix"
"msc-ips1","induced pluripotent stem cells"
"ovaries","ovary"
"renal cancer cell line","renal cell carcinoma"
"old nsc","neural stem cells"
"alveolar macrophages","alveolar macrophages"
"induced pluripotent stem cell, differentiated;neuralprogenitors.day23","neural stem cells"
"hfib2-ips4","induced pluripotent stem cells"
"embryo","embryo"
"seminal vesicle","seminal vesicle"
"peritoneum","peritoneum"
"s2","UNKNOWN"
"cells of the uterine cervix 500","uterine cervix"
"normal cells of the uterine cervix art6406","uterine cervix"
"lymphoblastoid cells","b lymphocytes"
"pons","pons"
"normal colon tissue","colon"
"cells of the uterine cervix 1671","uterine cervix"
"aorta","aorta"
"brown adipose tissue","brown adipose tissue"
"15% human blood, 85% mouse fat","UNKNOWN"
"parthenogentic embryonic stem cell, undifferentiated","embryonic stem cell"
"cells of the uterine cervix 5272","uterine cervix"
"splenic cdc1","UNKNOWN"
"interneuron, other","interneuron"
"aged skin epithelium","epithelium"
"hematopoietic stem cell (hsc)","hematopoietic stem cell"
"bone marrow-derived macrophages","bone marrow-derived macrophages"
"15% human blood, 85% mouse spleen","UNKNOWN"
"ovary of group-housed males at 10 wph","ovary"
"95% human blood, 5% mouse fat","UNKNOWN"
"fetal primary nsc","neural stem cells"
"monocyte","monocyte"
"foreskin keratinocyte","keratinocyte"
"e14 mesc","embryonic stem cell"
